"","dtract","x","y","X","Estimate..Total.","Margin.of.Error..Total.","Estimate..Total....Retail.trade"
"417",416.06,-122.19594113,47.88526806,2012,2488,260,375
"418",416.07,-122.17349374,47.89837904,2112,2229,171,373
"419",416.08,-122.16865014,47.88602027,2212,3134,280,329
"420",417.01,-122.21460744,47.88971313,2312,2151,292,258
"421",417.03,-122.24069264,47.86062141,2412,2554,294,153
"422",417.04,-122.22520129,47.86740485,2512,2560,455,356
"423",418.05,-122.2226767,47.91404187,2612,2653,330,371
"424",418.06,-122.22993551,47.90164123,2712,3458,398,469
"425",418.08,-122.23082458,47.89083079,2812,1516,170,225
"426",418.09,-122.24551674,47.89174982,2912,2148,435,120
"427",418.1,-122.24906589,47.88607164,3012,2421,303,379
"428",418.11,-122.2533863,47.87235277,3112,3456,349,500
"429",418.12,-122.26688185,47.87506488,3212,2316,358,357
"430",419.01,-122.27893035,47.90165978,3312,1968,255,201
"431",419.03,-122.25792568,47.91531164,3412,3461,337,371
"432",419.04,-122.23887671,47.91677226,3512,2133,348,273
"433",419.05,-122.25719102,47.90141371,3612,3307,425,425
"434",420.01,-122.31216363,47.90982361,3712,2917,320,282
"435",420.03,-122.32158934,47.87112884,3812,1697,179,125
"436",420.04,-122.287778,47.87103652,3912,2395,233,317
"437",420.05,-122.31143045,47.88461425,403,2855,242,372
"438",420.06,-122.29892971,47.89410364,415,2823,258,398
"439",501.01,-122.31730682,47.85902148,423,1293,120,129
"440",501.02,-122.29558879,47.85812526,433,2926,312,430
"441",502,-122.33681502,47.84466024,443,2223,197,264
"442",503,-122.3568314,47.8270706,453,2449,260,245
"443",504.01,-122.34955059,47.81474848,463,3728,337,258
"444",504.02,-122.34991271,47.80439185,473,2907,331,346
"445",505,-122.3781198,47.80701026,483,2858,291,298
"446",506,-122.38823251,47.78978273,493,562,54,55
"447",507,-122.3651021,47.7846493,503,3087,315,346
"448",508,-122.35018301,47.79274978,515,3297,327,395
"449",509,-122.33626456,47.78568909,523,1591,164,227
"450",510,-122.32246848,47.79237717,533,2549,384,285
"451",511,-122.30711924,47.78399065,543,2071,277,328
"452",512,-122.3058172,47.79781264,553,2208,234,343
"453",513,-122.29129804,47.79237317,563,3756,361,359
"454",514,-122.30654166,47.81333503,572,3522,417,637
"455",515,-122.32642603,47.82076201,582,2557,341,358
"456",516.01,-122.30928185,47.84481926,592,2024,254,214
"457",516.02,-122.31559436,47.83400495,602,2220,249,244
"458",517.01,-122.29993573,47.82997235,614,3005,363,662
"459",517.02,-122.28638398,47.8312072,622,2115,323,401
"460",518.02,-122.27357951,47.83961671,632,2876,294,304
"461",518.03,-122.28151945,47.85623699,642,2746,393,668
"462",518.04,-122.26384211,47.85721598,652,2355,249,280
"463",519.05,-122.2709132,47.81606082,662,4148,325,705
"464",519.12,-122.11510251,47.78820728,672,1102,105,113
